anomalia,tipo,grupo,anio,jurisdiccion,jurisdiccion_nombre,nacimientos,casos_total,casos_nv,casos_fm,casos_ile,casos_ne,casos_aislado,casos_acm,casos_sme,factor,prev,ic_inf,ic_sup
hlptrue,total,,2009,ARGENTINA,Argentina,2549,33,31,2,0,0,17,7,9,100,1.29,0.89,1.82
hlptrue,total,,2009,CHACO,Chaco,783,10,9,1,0,0,4,3,3,100,1.28,0.61,2.35
hlptrue,total,,2009,CORRIENTES,Corrientes,476,9,8,1,0,0,4,3,2,100,1.89,0.86,3.59
hlptrue,total,,2009,FORMOSA,Formosa,540,7,7,0,0,0,4,1,2,100,1.3,0.52,2.67
hlptrue,total,,2009,MISIONES,Misiones,750,7,7,0,0,0,5,0,2,100,0.93,0.38,1.92
hlptrue,total,,2010,ARGENTINA,Argentina,39587,718,690,28,0,0,487,122,109,100,1.81,1.68,1.95
hlptrue,total,,2010,BUENOSAIRES,Buenos Aires,8204,175,172,3,0,0,122,29,24,100,2.13,1.83,2.47
hlptrue,total,,2010,CABA,CABA,6669,113,103,10,0,0,75,17,21,100,1.69,1.4,2.04
hlptrue,total,,2010,CATAMARCA,Catamarca,556,14,14,0,0,0,5,4,5,100,2.52,1.38,4.22
hlptrue,total,,2010,CHACO,Chaco,5538,93,90,3,0,0,70,14,9,100,1.68,1.36,2.06
hlptrue,total,,2010,CORRIENTES,Corrientes,3167,37,37,0,0,0,23,11,3,100,1.17,0.82,1.61
hlptrue,total,,2010,FORMOSA,Formosa,3282,36,36,0,0,0,27,7,2,100,1.1,0.77,1.52
hlptrue,total,,2010,JUJUY,Jujuy,977,19,18,1,0,0,15,3,1,100,1.94,1.17,3.04
hlptrue,total,,2010,MISIONES,Misiones,4963,96,91,5,0,0,69,10,17,100,1.93,1.57,2.36
hlptrue,total,,2010,SALTA,Salta,2081,35,35,0,0,0,20,10,5,100,1.68,1.17,2.34
hlptrue,total,,2010,SANTAFE,Santa Fe,402,6,6,0,0,0,6,0,0,100,1.49,0.55,3.25
hlptrue,total,,2010,SANTIAGO,Santiago del Estero,1461,27,26,1,0,0,19,6,2,100,1.85,1.22,2.69
hlptrue,total,,2010,TUCUMAN,Tucumán,2287,67,62,5,0,0,36,11,20,100,2.93,2.27,3.72
hlptrue,total,,2011,ARGENTINA,Argentina,140066,2498,2390,107,0,1,1677,415,406,100,1.78,1.71,1.85
hlptrue,total,,2011,BUENOSAIRES,Buenos Aires,38836,663,642,20,0,1,462,104,97,100,1.71,1.58,1.84
hlptrue,total,,2011,CABA,CABA,30693,611,571,40,0,0,414,85,112,100,1.99,1.84,2.15
hlptrue,total,,2011,CATAMARCA,Catamarca,2378,36,35,1,0,0,23,7,6,100,1.51,1.06,2.1
hlptrue,total,,2011,CHACO,Chaco,5655,84,79,5,0,0,52,17,15,100,1.49,1.18,1.84
hlptrue,total,,2011,CHUBUT,Chubut,605,5,5,0,0,0,3,1,1,100,0.83,0.27,1.93
hlptrue,total,,2011,CORDOBA,Córdoba,3631,70,66,4,0,0,45,11,14,100,1.93,1.5,2.44
hlptrue,total,,2011,CORRIENTES,Corrientes,3111,24,23,1,0,0,14,9,1,100,0.77,0.49,1.15
hlptrue,total,,2011,ENTRERIOS,Entre Ríos,1636,23,22,1,0,0,16,5,2,100,1.41,0.89,2.11
